Project Name,Description,Country,Country Code,Standard Version,Project Developer,Scale,Type,Crediting Period,Status,Methodology,Annual Estimated Credits,GS ID,POA GS ID,Document URL
GS834 Improved Cooking Stoves for Nigeria Programme of Activities,The Improved Cooking Stoves for Nigeria Programme of Activities is a joint   initiative by the German NGOs atmosfair gGmbH and Lernen-Helfen-Leben e.V.   (LHL) to promote dissemination of improved cooking stoves to households in the   Federal Republic of Nigeria. The efficient stoves disseminated save up to 80% of   fuel wood.,Nigeria,NG,Gold Standard for the Global Goals,atmosfair gGmbH,Small Scale,Energy Efficiency - Domestic,2018-11-10 - 2023-11-09,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,0,N/A,N/A,https://platform.sustain-cert.com/public-project/1316
Hasanlar HEPP,"Hasanlar HEPP Project is planned to be implemented by DUZCE Enerji Birligi San.   ve Tic. A.S. on Kucuk Melen Watercourse of Turkey, within the boundaries of   Duzce Province. Project is located at the downstream of Hasanlar Dam.  Main structures of the plant will include Weir and water intake structure,   conveyance line, penstock and powerhouse. The water coming from the power   house of Hasanlar Dam, which is located on the Kucuk Melen Watercourse, pass   through the water intake structure and then transferred to the forebay by a   5,514 m long conveyance line, and finally transferred to the power house with a   90.00 m long penstock.     The project aims to generate energy from the 24 meters fall on Kucuk Melen   Watercourse. Project will include Francis type turbines, and the total installed   capacity of the plant will be 4.67 MW whereas corresponding generation is   21.43 GWh per year.",Turkey,TR,V2.1 SOP,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,Small Scale,"Small, Low - Impact Hydro",2011-10-01 - 2018-09-30,GOLD_STANDARD_CERTIFIED_DESIGN,AMS-I.D. Grid connected renewable electricity generation,13500,N/A,N/A,https://platform.sustain-cert.com/public-project/1314
Amayo Phase II Wind Power Project,"The Project consists on the addition of 23.1 MW of capacity to the Amayo Wind   Farm located in the province of Rivas, Republic of Nicaragua.    The main objective of the Amayo Phase II Wind Power Project (hereafter, “Phase   II"") is to provide affordable electricity to the Nicaraguan grid by means of a   renewable, clean, and cheap source: the wind. For this purpose, the project will   make use of eleven 2.1 megawatt (“MW"") Suzlon S88 V3 60HZ wind turbine   generators and related equipment, for a total power capacity of 23.1 MW per   year, that will be added to the existing wind farm (“Phase I""). The net power   production provided to the national grid is expected to be approximately 98.6   GWh per year.",Nicaragua,NI,Gold Standard for the Global Goals,Martin Schaffer,Large Scale,Wind,2011-10-01 - 2018-09-30,GOLD_STANDARD_CERTIFIED_PROJECT,ACM0002 Grid-connected electricity generation from renewable sources,69915,N/A,N/A,https://platform.sustain-cert.com/public-project/1313
Shimoni Improved Cook Stoves,"This project will involve the distribution of 1984 energy  efficient stoves in the Shimoni community, in Kenya. This community is  one of the poorest in the region being also largely overpopulated, with  most of its people suffering from unemployment, poor health and  poverty. The lifestyles of the locals within this community often  impact negatively on the environment, as for instance regarding  deforestation.  These stoves will utilise the efficient rocket technology. They will be  manufactured, distributed and installed by local people under the  training and supervision of co2balance Kenya Ltd. Initial testing has  shown these stoves to be more than 50% more efficient than traditional  models as well as it reduces the indoor smoke about 80%. These stoves  will be using less firewood and emitting less smoke.",Kenya,KE,2.1,CO2balance UK ltd,Microscale,Energy Efficiency - Domestic,2011-01-01 - 2017-12-31,GOLD_STANDARD_CERTIFIED_PROJECT,GS Methodology for Improved Cook stoves and Kitchen Regimes v2.,4922,N/A,N/A,https://platform.sustain-cert.com/public-project/1312
Biomass based power project in Punjab India,"Dee Development Engineers Pvt. Ltd. (DDEPL) has set up an 8.0 MW independent   biomass based power plant at Village Gaddadhob in Firozepur district of Punjab,   India which will generate electricity and supply it to the regional grid. The   project activity has one 33 TPH capacity boiler and one bleed cum condensing   steam turbine of nominal capacity of 8.0 MW.    The purpose of the project activity is to utilize surplus biomass available in the   region for effective generation of electricity for supply to the grid to meet the   ever-increasing demand for energy in the region. The project activity, by   generation of renewable electricity, contributes towards reduction of Green   House Gas emissions. In the absence of the project activity, GHG emissions   would have occurred for generation of equivalent amount of electricity from the   fossil fuel dominated regional grid.",India,IN,2.1,Dee Development Engineers Pvt. Ltd.,Small Scale,"Biomass, or Liquid Biofuel - Electricity",2010-02-01 - 2017-01-31,LISTED,AMS-I.D. Grid connected renewable electricity generation,42657,N/A,N/A,https://platform.sustain-cert.com/public-project/1311
Likoni and Shimoni Improved Cook Stove Project,"This project will involve the distribution of 1637 energy  efficient stoves in the Likoni community. Likoni is a district division  for Mombasa, Kenya. It is in fact the poorest area in Mombasa, is  largely overpopulated, with most of its people suffering from  unemployment, poor health and poverty. The lifestyles of the locals  within this community often impact negatively on the environment. There  is large scale deforestation often due to firewood collection by forest  adjacent communities who are forest dependant.  These stoves will utilise the efficient rocket technology. They will be  manufactured, distributed and installed by local people under the  training and supervision of co2balance Kenya Ltd. Initial testing has  shown these stoves to be more than 50% more efficient than traditional  models as well as it reduces the indoor smoke about 80%. These stoves  will be using less firewood and emitting less smoke.",Kenya,KE,2.1,CO2balance UK ltd,Microscale,Energy Efficiency - Domestic,2010-07-01 - 2017-06-30,GOLD_STANDARD_CERTIFIED_PROJECT,GS TPDDTEC v 2.,4924,N/A,N/A,https://platform.sustain-cert.com/public-project/1310
Shimba Hills Improved Cook Stoves,"This Gold Standard small scale project will involve the free distribution of   efficient wood stoves to households in Shimba Hills; Maungu; Kasigau; Kwale   Village; Golini Village, Kenya.      In the absence of this project householders would cook primarily using   traditional inefficient 3 stone fires.  This project will employ “rocket"" stove   technology, based on a permanent construction of bricks & mortar, for improved   fuel efficiency.",Kenya,KE,2.1,CO2balance UK ltd,Small Scale,Energy Efficiency - Domestic,2010-06-01 - 2017-06-01,GOLD_STANDARD_CERTIFIED_PROJECT,GS TPDDTEC v 1.,41944,N/A,N/A,https://platform.sustain-cert.com/public-project/1309
Wind Park Vader Piet Aruba,"Wind Park  ‘Vader Piet’ is located at the east coast of the island of Aruba. This   island is part of the Dutch Caribbean islands and is located very near to the   coast of Venezuela. 10 wind energy plants (WEP) will be installed, each with an   electric capacity of 3 MW. The projects overall electric capacity will be 30 MW.   The park is expected to reduce emissions of greenhouse gases by an estimated   152,783 tCO2e per year during the first crediting period.",Aruba,AW,2.1,WEB Aruba N.V.,Large scale,Wind,2012-04-09 - 2022-04-08,GOLD_STANDARD_CERTIFIED_PROJECT,ACM0002 Grid-connected electricity generation from renewable sources,152783,N/A,N/A,https://platform.sustain-cert.com/public-project/1306
Solar Cookstoves Project in Peru,"The project has been providing solar cook-stoves to families in the departments   of   Arequipa and Puno, in Peru. This project is carried out by Bolivia Inti, a French-  based NGO.",Peru,PE,Gold Standard for the Global Goals,GoodPlanet,Microscale,Solar Thermal - Heat,2010-10-11 - 2020-10-10,GOLD_STANDARD_CERTIFIED_PROJECT,,3837,N/A,N/A,https://platform.sustain-cert.com/public-project/1305
Solar Cookstoves Project in Bolivia,"Providing Solar Cookstoves to the rural population of Bolivia. Project has been   implimented by Bolivia Inti. The high incidence of solar light in Bolivia and its   high altitude make the power of the sunlight more attractive. This country is   particularly fit for the diffusion of solar cook stoves. The solar cook stoves can   cover most of the cooking energy needs of the beneficiaries, reducing more than   50% of the fuel consumption of the households, and can even be used for other   purposes such as pasteurisation of water.","Bolivia, Plurinational State of",BO,Gold Standard for the Global Goals,GoodPlanet,Microscale,Solar Thermal - Heat,2009-08-11 - 2019-08-10,GOLD_STANDARD_CERTIFIED_PROJECT,GS Methodology for Improved Cook stoves and Kitchen Regimes v2.,2922,N/A,N/A,https://platform.sustain-cert.com/public-project/1304
Afforestation Project in Tongliao Inner Mongolia,"The project is part of the Million Tree Project (MTP) implemented by Shanghai Roots & Shoots in Inner Mongolia of China. The planting and maintenance work will be implemented by the local villagers under the supervision of Shanghai Roots & Shoots. Hybrid poplars are the major tree species to be planted. In hilly and sandy areas, bushes and other vegetations and methods, such as grass sand blocks, will also be considered and implemented. With this project, this area will have its vegetation coverage and carbon sink increased, sand dunes stablized, water reserved and soil improved. Meanwhile, this project will generage extra jobs and incomes for local residents, bring advance agro-forestry practices to the community and develop sustainable land management education there.",China,CN,Gold Standard for the Global Goals,Climate Bridge (Shanghai) Ltd.,Large Scale,A/R,2014-04-11 - 2043-04-11,GOLD_STANDARD_CERTIFIED_PROJECT,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,10000,N/A,N/A,https://platform.sustain-cert.com/public-luf-project/2809
DINC HEPP,"DINC is a run-off-river type hydroelectric power plant (HEPP)   project. DINC HEPP is going to be instructed by Ozalp Elektrik   Uretim A.Þ. Project site is within the boundaries of Mersin   province, located southeast of Mut district between the   coordinates of 360 32’ 49’’ – 360 40’ 55’’ N latitude and 330   33’ 17’’ – 330 40’ 09’’ E longitude.    The installed capacity of the DINC HEPP is 1,97 MW with an   estimated amount of 14,94 GWh electricity for 49 years. The   estimated amount of carbon reduction of DINC HEPP will be   8.964 tCO2 per year. The plant is going to use horizontal   francis turbine, the transmission line of the project will be   2391 m and the 800 mm diameter of penstock will be used.    The project reduces the emissions of CO2 and contributes the   global climate change, without affecting the local environment   or basin of the Kurtsuyu. According to Turkish Electricity   Transmission Company(TEIAS) statistic, in 2008 about 50% of   the electricity has been gene",Turkey,TR,Gold Standard for the Global Goals,SerCarbon,Small Scale,"Small, Low - Impact Hydro",2010-01-21 - 2020-01-20,LISTED,,8964,N/A,N/A,https://platform.sustain-cert.com/public-project/1303
Clean Energy One Biomass Power Plant Project 300548 pre CDM VER,see GS 792,Thailand,TH,2.1,Swiss Carbon Assets Ltd.,Small Scale,"Biomass, or Liquid Biofuel - Electricity",None - None,LISTED,,30000,N/A,N/A,https://platform.sustain-cert.com/public-project/1302
Wastewater Treatment and Methane Recovery at Green Field Joint Stock Company 300652 pre CDm VER,se GS 793,Viet Nam,VN,2.1,Swiss Carbon Assets Ltd.,Large scale,Biogas - Electricity,None - None,LISTED,,99365,N/A,N/A,https://platform.sustain-cert.com/public-project/1300
GS790 Sustainable Small Hydropower Programme of Activities PoA CPA Manggani Hydroelectric Project Pre CDM VER,Pre-CDM VER of GS822 Manggani Hydroelectric Project -CPA of GS790_Sustainable   Small Hydropower Programme of Activities (PoA) in Indonesia,Indonesia,ID,2.1,South Pole Carbon Asset Management Ltd.,Small Scale,"Small, Low - Impact Hydro",None - None,LISTED,,5000,790,1197,https://platform.sustain-cert.com/public-project/1299
Wastewater Treatment and Methane Recovery at Green Field Joint Stock Company 300652,"The project activity involves construction and installation a new anaerobic   digester   system with methane recovery and refinery equipment, a new biogas-fired boiler   in   Green Field Fuel Ethanol Factory owned by Green Filed Joint Stock Company   (GFC).",Viet Nam,VN,2.1,Swiss Carbon Assets Ltd.,Large scale,Biogas - Electricity,2008-01-01 - 2018-12-31,LISTED,ACM0014 Treatment of wastewater,99365,N/A,N/A,https://platform.sustain-cert.com/public-project/1298
Clean Energy One Biomass Power Plant Project 300548,"A new biomass power plant by using agricultural residues. This power plant will   utilize biomass, which in this case is mostly coconut residue, and generate the   gross electricity of approximate 9 MW of which 8 MW will be fed to the grid under   VSPP scheme.",Thailand,TH,2.1,Swiss Carbon Assets Ltd.,Small Scale,"Biomass, or Liquid Biofuel - Electricity",2012-09-01 - 2019-08-31,GOLD_STANDARD_CERTIFIED_DESIGN,AMS-I.D. Grid connected renewable electricity generation,30000,N/A,N/A,https://platform.sustain-cert.com/public-project/1297
GS790 Sustainable Small Hydropower Programme of Activities PoA in Indonesia 300218,The Programme of Activities (PoA) will cover small scale run-of-river hydro power   plants under 15 MW whether it's on grid and off grid.,Indonesia,ID,Gold Standard for the Global Goals,South Pole Carbon Asset Management Ltd.,Small Scale,"Small, Low - Impact Hydro",2007-06-22 - 2035-06-21,LISTED,,0,N/A,N/A,https://platform.sustain-cert.com/public-project/1296
Metro Group Energy WWT Project 300392 pre CDM VER,see GS 746,Thailand,TH,2.1,South Pole Carbon Asset Management Ltd.,Small Scale,Biogas - Cogeneration,2011-10-01 - 2018-10-01,GOLD_STANDARD_CERTIFIED_DESIGN,AMS-I.C. Thermal energy production with or without electricity,25000,N/A,N/A,https://platform.sustain-cert.com/public-project/1295
Wanzhou Kehua Cement WHR to 13 5 MW electricity project in Wanzhou District 300087 pre CDM VER,see GS 475,China,CN,1.0,South Pole Carbon Asset Management Ltd.,Large scale,Energy Efficiency - Industrial,2010-03-01 - 2020-02-28,GOLD_STANDARD_CERTIFIED_DESIGN,ACM0012 Waste energy recovery,80000,N/A,N/A,https://platform.sustain-cert.com/public-project/1294
Guangzhou Zhujiang Beer Methane Recovery Project 300068 pre CDM VER,"The main purpose of the project activity is to install a biogas capturing device   and a biogas based electricity generator in the existing wastewater treatment   system at the beer brewery Guangzhou Zhujiang Brewery Co., Ltd. The currently   operating wastewater system has no biogas capturing device and the methane   rich gas is released to the atmosphere. After implementation of the project   activity, the biogas will be used for electricity generation, which will be   exported to the China Southern Power Grid. The project activity will lead to   green house gas (GHG) emission reductions in a twofold manner: (a) it will avoid   methane emissions by capturing the biogas and using it as a fuel, and (b) it will   displace fossil fuel based electricity from the grid.",China,CN,1.0,South Pole Carbon Asset Management Ltd.,Small Scale,Biogas - Electricity,2008-03-01 - 2015-12-19,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.D. Grid connected renewable electricity generation,28000,N/A,N/A,https://platform.sustain-cert.com/public-project/1293
GS688 SUEN East Turkey Hydro PoA Cevher II 7 084 MW HEPP in Turkey,GS688 PoA,Turkey,TR,2.0,SUEN Ltd.,Small Scale,"Small, Low - Impact Hydro",2012-01-01 - 2018-12-31,LISTED,AMS-I.D. Grid connected renewable electricity generation,14328,688,1149,https://platform.sustain-cert.com/public-project/1292
GS688 SUEN East Turkey Hydro PoA Cevher I 9 295 MW HEPP in Turkey,GS688 PoA,Turkey,TR,Gold Standard for the Global Goals,SUEN Ltd.,Small Scale,"Small, Low - Impact Hydro",2012-01-01 - 2018-12-31,LISTED,AMS-I.D. Grid connected renewable electricity generation,20777,688,1149,https://platform.sustain-cert.com/public-project/1291
Blue Fire Bio wastewater treatment and biogas utilization project 300147 pre CDM VER,see GS 662,Thailand,TH,2.0,South Pole Carbon Asset Management Ltd.,Small Scale,Biogas - Cogeneration,2007-07-01 - 2017-04-08,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.C. Thermal energy production with or without electricity,51817,N/A,N/A,https://platform.sustain-cert.com/public-project/1290
Bangna Starch Wastewater Treatment and Biogas Utilization Project 300084 pre CDM VER,see GS 565,Thailand,TH,1.0,South Pole Carbon Asset Management Ltd.,Small Scale,Biogas - Electricity,2007-10-31 - 2015-11-09,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.D. Grid connected renewable electricity generation,41701,N/A,N/A,https://platform.sustain-cert.com/public-project/1289
CYY Biopower Wastewater treatment plant including biogas reuse for thermal oil replacement and electricity generation Project Thailand 300059 pre CDM VER,see GS 560,Thailand,TH,1.0,South Pole Carbon Asset Management Ltd.,Large scale,Biogas - Cogeneration,2007-09-01 - 2018-05-24,GOLD_STANDARD_CERTIFIED_PROJECT,Other,97000,N/A,N/A,https://platform.sustain-cert.com/public-project/1288
Saraff Biogas Wastewater Treatment and Biogas Utilisation project 300177 pre CDM VER,The proposed biogas project is an anaerobic digestion process followed by an   aerobic waste water polishing process and is intended to process waste water   derived from the dewatering of milled Empty Fruit Bunch (EFB). The EFB is used   as fuel in the biomass power plant and must be dewatered to assist the   combustion process. Wastewater is derived solely from the dewatering of EFB.   The dewatering process involves shredding the EFB and squeezing the shredded   fibrous material in large and powerful screw presses. The pressure forces out a   large part (about 30%) of the residual liquid contained in an on the fibres of the   EFB.,Thailand,TH,1.0,South Pole Carbon Asset Management Ltd.,Small Scale,Biogas - Electricity,2009-03-31 - 2019-03-30,GOLD_STANDARD_CERTIFIED_DESIGN,AMS-I.D. Grid connected renewable electricity generation,51630,N/A,N/A,https://platform.sustain-cert.com/public-project/1287
Chantaburi Starch Wastewater Treatment and Biogas Utilization Project 300085 pre CDM VER,"The project entails the replacement of an existing wastewater treatment practice   (open lagoon system) and the installation of an up-flow anaerobic sludge   blanket technology (UASB) biogas reactor at a starch plant for (a) the extraction   of methane (biogas) from the wastewater stream through the biogas reactor, (b)   the reuse of biogas as fuel and for power production. The project thus avoids   the release of methane into the atmosphere that results from the anaerobic   digestion of the organic content in the wastewater treated in the lagoon system   (anaerobic conditions, leading to methane generation within the lagoon are the   result of lagoon depth (> 1m) and an average atmospheric temperature of about   28oC). In addition, the biogas reactor produces sufficient quantities of biogas to   fuel a gas engine for the production of power for own use and sale to the   electricity grid, thus replacing the production of power from fossil sources in   the EGAT electricity grid.",Thailand,TH,1.0,South Pole Carbon Asset Management Ltd.,Small Scale,Biogas - Electricity,2008-12-25 - 2018-09-01,GOLD_STANDARD_CERTIFIED_DESIGN,AMS-I.C. Thermal energy production with or without electricity,60000,N/A,N/A,https://platform.sustain-cert.com/public-project/1286
Pitak Palm Wastewater Treatment and Biogas Utilization Project 300335 pre CDM VER,"The proposed project consists of the installation of an Upflow Anaerobic Sludge   Blanket technology biogas reactor and power generation (1 MW) at an existing   palm oil manufacturing plant. The project activity involves the capture of biogas   and its vaporization by production of electricity that will be both exported to the   grid and used to replace electricity currently generated on-site by fossil fuel.   The excess biogas (if any) will be combusted in an enclosed type flare. The   project activity does not impact the sludge treatment nor the effluent discharge   characteristics which remain identical to the baseline. Only gas is captured by   biogas reactor. Therefore, this project activity which replacing the existing   wastewater treatment practice (open lagoon system) and thus avoiding the   release of methane into the atmosphere that results from the anaerobic   digestion of the organic matter in the wastewater as stated in the upper section",Thailand,TH,1.0,South Pole Carbon Asset Management Ltd.,Small Scale,Biogas - Electricity,None - None,LISTED,,18500,N/A,N/A,https://platform.sustain-cert.com/public-project/1285
Stoves for Life Energy Efficient Cook Stoves Project in Kakamega Kenya,"The project involves introducing locally made, fuel efficient Upesi cooking   stoves to around 90,000 households in forest adjacent communities around   Kakamega Forest in Western Kenya over the next 7 years. The Kakamega   Environmental Education Programme (KEEP) and Eco2librium will work with local   women’s groups to build their capacity to make the stoves. KEEP and   Eco2librium will also assist stove making groups to market, distribute, and   install the stoves in households which includes training of women in homes in   their use and care.",Kenya,KE,Gold Standard for the Global Goals,myclimate Foundation,Large Scale,Energy Efficiency - Domestic,2017-11-25 - 2024-11-24,GOLD_STANDARD_CERTIFIED_PROJECT,GS TPDDTEC v 1.,375846,N/A,N/A,https://platform.sustain-cert.com/public-project/1284
8 6 MW RIZA HEPP,Rýza hepp is a run of river type project located in blacksea region of Turkey. Project is located in Gölkoy District of Ordu province.,Turkey,TR,Gold Standard for the Global Goals,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,Small Scale,"Small, Low - Impact Hydro",2012-08-01 - 2019-07-31,LISTED,Not provided,19000,N/A,N/A,https://platform.sustain-cert.com/public-project/1354
GS790 Sustainable Small Hydropower PoA 1 1 MW Manggani Mini Hydroelectric Project West Sumatera Indonesia 300469,"The project will generate electricity of 1.168 MW to be exported to the Sumatra Grid by utilizing Batang Rambutan River in West Sumatra.  The project consists of barrage, diversion tunnel, fore bay, spillway, pressure pipe, powerhouse, and booster station to generate electricity.  The project has a strong involvement from the local stakeholders.",Indonesia,ID,2.1,South Pole Carbon Asset Management Ltd.,Small Scale,"Small, Low - Impact Hydro",2010-03-01 - 2017-02-28,LISTED,AMS-I.D. Grid connected renewable electricity generation,5000,790,1197,https://platform.sustain-cert.com/public-project/1308
Biogas CDM Project of Bagepalli Coolie Sangha,"The Bagepalli Coolie Sangha is a 25 year-old membership based people¡¦s   organization formed by small and poor peasant families (landed and landless   agricultural labourers) in their respective villages. The purpose of this Biogas   CDM Project activity is to set up 18,000 biogas plants (digesters) of 2 m3   capacity each for single households in 5 Taluks of Chickballapur District by the   Coolie Sangha, and in this way replace non-renewable fuelwood and kerosene   used on the baseline. These biogas units will be installed in a phased manner;   6,000 units/year for a period of 3 years.     Implementation of the project is on the successful validation and registration of   the project as a CDM project activity since the project will be financed   completely from carbon revenues. The project avoids indoor air pollution,   removes drudgery for women and children, improves economic conditions of the   family, improves soil fertility and provides time for income generating activities   es",India,IN,Gold Standard for the Global Goals,Bagepalli Coolie Sangha (BCS),Small Scale,Biogas - Heat,2022-01-01 - 2026-12-31,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.C. Thermal energy production with or without electricity,42855,N/A,N/A,https://platform.sustain-cert.com/public-project/1283
BK Energia Itacoatiara Project,"The project generates electricity with a thermoelectric power plant (see picture below) using wood waste from an FSC1 certified forest and a wood processing company in the city of Itacoatiara, in the State of Amazonas, Brazil. The electricity is generated with a high-pressure boiler (42 bar – 420° C) and a multiple stage condensing steam turbine coupled with a 9 MWelt generator. The power plant replaces several diesel generators and supplies the local grid of the town of Itacoatiara (approx. 80,000 inhabitants) in a region supplied by 100% diesel fuelled electrical electricity generators.",Brazil,BR,Gold Standard for the Global Goals,myclimate Foundation,Small Scale,"Biomass, or Liquid Biofuel - Electricity",2016-11-01 - 2023-10-31,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.D. Grid connected renewable electricity generation,47172,N/A,N/A,https://platform.sustain-cert.com/public-project/1282
Solar for Forest,"Solar for Forest project is developed by The Aegean Forest Foundation (EGEVAK) which is a non-profit voluntary organization. The project involves the installation of a 500kWp solar photovoltaic energy plant which will in turn generate funds to plant approximately 40,000 trees every year. Project site is located within the boundaries of Izmir / Turkey",Turkey,TR,Gold Standard for the Global Goals,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,Micro scale,Solar Thermal - Electricity,2014-08-01 - 2021-07-31,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.D. Grid connected renewable electricity generation,500,N/A,N/A,https://platform.sustain-cert.com/public-project/1439
Bolu Landfill Gas to Energy Project Turkey,"The Project is an integrated solid waste management project planned on the   managed and unmanaged landfill sites of the Bolu city in Turkey. It involves the   collection and combustion of landfill gas in a facility on the landfill site for   generating electricity and feeding it to the national grid. The Project owner, CEV   Marmara Enerji Üretim Sanayi ve Tic. Ltd. Þti., has been awarded with the right of   operating the landfill site for 29 years following a Bolu Municipality tender.",Turkey,TR,Gold Standard for the Global Goals,CEV Enerji retim Sanayi ve Ticaret Limited _irket,Small Scale,Biogas - Electricity,2018-08-12 - 2025-08-11,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-III.G. Landfill methane recovery,24673,N/A,N/A,https://platform.sustain-cert.com/public-project/1281
Efficient Fuel Wood Cooking Stoves Project in Foothills and Plains of Central Region of Nepal,"The proposed project activity, aims to disseminate 30600 fuel efficient stoves in   the next 2 years in 6 southern Terai  districts of central region of Nepal. The   project will be financed by Egluro, UK and will be implemented by Centre for Rural   Technology, Nepal(CRT/N)together with the local partner NGOs in each district.",Nepal,NP,2.1,Egluro,Small Scale,Energy Efficiency - Domestic,2011-05-01 - 2021-04-30,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,24541,N/A,N/A,https://platform.sustain-cert.com/public-project/1280
Egemen 19 92 MW Run off river HEPP,"Enersis Elektrik Uretim Ltd. Sti. plans to install a hydro power plant in region of   Keles, Bursa, Turkey. The project is on the Nilufer creek and consists of two   power plants (Egemen I and II).  The purpose of the project is to generate   electricity and feed it into the public grid. The expected electricity production   figure is 71.830 MWh per annum.  Implementation of the project will consist of   construction of the following main items:  • Egemen I and Egemen II diversion weirs, where water from the river is diverted   into conveyance pipes;  • Total length of conveyence line is 14.5 km.  • Two Power houses with Francis type horizontal turbines  • Total length of electricity transmission line is 39 km.      Egemen HEPP shall be registered as a Gold Standard Voluntary Emission   Reduction (GS-VER) project in order to facilitate  the project implementation by   means of financial inflows coming from the credits sale.",Turkey,TR,2.1,Zafer Taahut Insaat ve Tic. A.S.,Large scale,"Small, Low - Impact Hydro",2010-12-27 - 2020-12-27,LISTED,ACM0002 Grid-connected electricity generation from renewable sources,46186,N/A,N/A,https://platform.sustain-cert.com/public-project/1279
National Biodigester Programme Cambodia,"Development of a market-oriented biodigester sector in Cambodia with the aim to exploit the
potential of biogas in Cambodia enabling rural households to switch to clean cooking from relying on wood, 
reduce deforestation and improve agricultural yields through the use of bio-slurry",Cambodia,KH,Gold Standard for the Global Goals,MAFF/National Biodigester Programme,Large Scale,Biogas - Heat,2019-01-01 - 2025-12-31,GOLD_STANDARD_CERTIFIED_PROJECT,GS TPDDTEC v3.1,31744,N/A,N/A,https://platform.sustain-cert.com/public-project/1277
Hebei Yingxin Glass Group Co Ltd Glass Furnace Flue Gas Waste Heat To Energy Project 300502,"Hebei Yingxin Co., Ltd has four glass production lines with total daily melting   capacity of 2000 tonnes. Purpose of this project is to utilize waste heat from   exhaust gas of these glass production lines for power generation. The   installation capacity is 6MW ×2. Annual utilization time is 7200 hours. Annual   output is estimated to be 76,000MWh.",China,CN,Gold Standard for the Global Goals,Swiss Carbon Assets Ltd.,Large scale,Energy Efficiency - Industrial,2010-01-01 - 2019-12-31,GOLD_STANDARD_CERTIFIED_PROJECT,ACM0012 Waste energy recovery,67906,N/A,N/A,https://platform.sustain-cert.com/public-project/1276
Daðdelen Weir and Hydro Power Plant,"Daðdelen Weir and Hydropower plant is going to be built on Ceyhan River in the   boundaries of  Afþin, Elbistan and Göksun Boroughs of Kahramanmaraþ Province   and within the scope of Kandil Energy Project Group. The project group also   includes Kandil Dam, Sarýgüzel Dam and Hacýnýnoðlu Regulator as well.   Daðdelen Regulator will increase the efficiency of Kandil Dam and will be   constructed  in fountainhead to provide a fall height for the dam. The total   installed capacity of the project is 8 MW and the project lifetime is 49 years. The   annual electricity generation is expected to be 30 GWh.",Turkey,TR,V2.1 SOP,Enerjisa Enerji Uretim A.S.,Small Scale,"Small, Low - Impact Hydro",2020-01-01 - 2026-12-31,GOLD_STANDARD_CERTIFIED_DESIGN,AMS-I.D. Grid connected renewable electricity generation,16447,N/A,N/A,https://platform.sustain-cert.com/public-project/1275
Dissemination of improved stoves Mogogo in the Eritrean highlands,"The objective of this project is to promote the livelihood of village dwellers and   reduce wood fuel demand by providing improved traditional stoves for cooking   (Mogogo) to people in the Debub Zone in Eritrea. The dissemination of   smokeless stoves improves the health of women and children by avoiding   inhalation of smoke and smoke induced eye irritation. Moreover, efficient stoves   substantially reduce the demand for wood fuel, which in turn decreases   environmental degradation and greenhouse gas emissions.",Eritrea,ER,Gold Standard for the Global Goals,myclimate Foundation,Microscale,Energy Efficiency - Domestic,2009-08-11 - 2019-08-10,GOLD_STANDARD_CERTIFIED_PROJECT,GS Methodology for Improved Cook stoves and Kitchen Regimes v1.,4490,N/A,N/A,https://platform.sustain-cert.com/public-project/1274
Metro Group Energy WWT Project 300392,"The proposed project activity entails the installation of an   anaerobic wastewater treatment facility, based on an “Up flow   Anaerobic Sludge Blanket"" (UASB) system, to complement the   existing open lagoon based system at a starch factory. The   system to be implemented enables recovery of methane, that   would have been released into the atmosphere, and utilize it   for thermal and electricity generation. In the case of thermal   energy generation, the captured methane will be utilized in   the existing heat generating device for the process of drying   the wet starch (displacing fuel oil used under the previous   system).  The project creates new jobs and increases income to the   region via fostering of contracts to local firms for the   construction, operation and maintenance of the plant.   Furthermore, the implementation of this project activity can   reduce odour normally associated with open lagoon wastewater   systems.",Thailand,TH,Gold Standard for the Global Goals,South Pole Carbon Asset Management Ltd.,Small Scale,Biogas - Cogeneration,2018-10-01 - 2025-09-30,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.C. Thermal energy production with or without electricity,56958,N/A,N/A,https://platform.sustain-cert.com/public-project/1273
